aid,title,local_cover
2451,「凭你也想讨伐魔王？」被勇者小队逐出队伍，只好在王都自在过活(你这种家伙别想打赢魔王),csv/cover\2451.jpg
2537,自称贤者弟子的贤者,csv/cover\2537.jpg
3558,狱门抚子在此,csv/cover\3558.jpg
4043,雨之塔,csv/cover\4043.jpg
2756,转生公主与天才千金的魔法革命(转生王女与天才千金的魔法革命),csv/cover\2756.jpg
2751,我们不可能成为恋人！绝对不行。(※似乎可行？)（我怎么可能成为你的恋人，不行不行！）,csv/cover\2751.jpg
3961,异界扫灭的战斗女仆,csv/cover\3961.jpg
3755,碱性劣等生,csv/cover\3755.jpg
3866,与她女友的不纯初恋,csv/cover\3866.jpg
4040,夏天的少女归来了,csv/cover\4040.jpg
3998,班上的公主是我的小狗,csv/cover\3998.jpg
3519,我买下了与她的每周密会～以五千圆为借口，共度两人时光～(一周一次买下同班同学的那些事),csv/cover\3519.jpg
4026,花物语,csv/cover\4026.jpg
3590,Stellar step,csv/cover\3590.jpg
4014,在揍爆向导天使之后，我当上了死灵术师,csv/cover\4014.jpg
3210,被夹在百合之间的我，顺势劈腿了(关于被百合夹在中间的我，顺势脚踏两只船这件事),csv/cover\3210.jpg
3763,心上人的妹妹(我心爱之人的妹妹),csv/cover\3763.jpg
2255,魔女之旅,csv/cover\2255.jpg
2480,怕痛的我，把防御力点满就对了,csv/cover\2480.jpg
3986,谁才是我的百合呢！？,csv/cover\3986.jpg
2258,高贵魔女 第506统合战斗飞行团,csv/cover\2258.jpg
3735,少女星间漂流记,csv/cover\3735.jpg
3885,寂静魔女 索姆斯没人要中队Reboot,csv/cover\3885.jpg
3964,双星·飓风·离乡人,csv/cover\3964.jpg
3963,摩卡奇诺-小学生百合短篇集-,csv/cover\3963.jpg
3962,转生千金卡特娜在异世界追寻梦想成为刀匠！,csv/cover\3962.jpg
2895,声优广播的幕前幕后(声优广播的台前幕后),csv/cover\2895.jpg
3611,我的初恋太过羞耻无法对人诉说,csv/cover\3611.jpg
3917,志乃与恋 Future,csv/cover\3917.jpg
1683,安达与岛村,csv/cover\1683.jpg
3785,想成为勇者的少女，与注定成为勇者的她(想要成为勇者的少女，与理应成为勇者的她),csv/cover\3785.jpg
3585,败给性格恶劣的天才儿时玩伴，初体验全部被她夺走(败给了性格恶劣的天才青梅，初体验全部被夺走这件事),csv/cover\3585.jpg
3332,我们没有故事,csv/cover\3332.jpg
3894,两个人是光之美少女,csv/cover\3894.jpg
3625,捡到小猫，我也仅是小猫,csv/cover\3625.jpg
3872,人妻教师被班里的女高中生迷的神魂颠倒的故事,csv/cover\3872.jpg
3863,魔女之旅 学园物语,csv/cover\3863.jpg
3862,少女所不期望的英雄史诗,csv/cover\3862.jpg
2441,持续狩猎史莱姆三百年，不知不觉就练到LV MAX,csv/cover\2441.jpg
3854,鹿乃江同学的左手,csv/cover\3854.jpg
2792,家里蹲吸血姬的郁闷(家里蹲吸血姬的苦闷),csv/cover\2792.jpg
2468,里世界远足(里世界郊游),csv/cover\2468.jpg
3542,CARNEADES,csv/cover\3542.jpg
3833,在放学后的教室里，恋爱浮现,csv/cover\3833.jpg
2152,熊熊勇闯异世界,csv/cover\2152.jpg
3810,经学少女传~考试地狱中的男装大小姐~,csv/cover\3810.jpg
2651,处刑少女的生存之道,csv/cover\2651.jpg
2896,将放言说女生之间不可能的女孩子，在百日之内彻底攻陷的百合故事,csv/cover\2896.jpg
3817,末日尽头的少女背包之旅,csv/cover\3817.jpg
3816,猫之山宁宁子是猫族,csv/cover\3816.jpg
3802,谋杀勇者的新娘,csv/cover\3802.jpg
3800,魔女们的选择 两位魔女的英雄史诗,csv/cover\3800.jpg
3784,我发现了小小的百合,csv/cover\3784.jpg
3780,请待在有光的地方,csv/cover\3780.jpg
3653,区区平民竟敢这么嚣张！,csv/cover\3653.jpg
3759,只要活着,csv/cover\3759.jpg
3754,深夜重拳(深夜PUNCH 动画投稿者是吸血鬼！？),csv/cover\3754.jpg
2971,英雄王，为了穷尽武道而转生～而后成为世界最强见习骑士♀～,csv/cover\2971.jpg
3723,她她,csv/cover\3723.jpg
3716,初恋Signal,csv/cover\3716.jpg
3137,身为VTuber的我因为忘记关台而成了传说,csv/cover\3137.jpg
3703,蜘蛛与制服,csv/cover\3703.jpg
3693,在这得说猫语,csv/cover\3693.jpg
3667,四人制姐妹百合物帐,csv/cover\3667.jpg
3665,你以为我的百合人设只是商业卖点？,csv/cover\3665.jpg
3639,不动火轮一动不动,csv/cover\3639.jpg
3432,祈祷之国的莉莉艾儿,csv/cover\3432.jpg
3560,回忆重叠的乐园战场。接着两人，拿起了武器(少女执利兵于手，相战于交织希望的乐园战场),csv/cover\3560.jpg
2685,明日的世界将会星光灿烂(明日的世界星光闪耀),csv/cover\2685.jpg
1990,SAO刀剑神域外传 Gun Gale Online,csv/cover\1990.jpg
3547,NO推理、NO侦探？,csv/cover\3547.jpg
3101,菜鸟炼金术师开店营业中(新人炼金术师的店铺经营),csv/cover\3101.jpg
3525,Lovelive! 虹咲学园偶像同好会 红莲的剑姬~Flamesword Princess~,csv/cover\3525.jpg
3507,沙漠蔷薇,csv/cover\3507.jpg
3505,焦点深度,csv/cover\3505.jpg
2635,我的推是坏人大小姐(我推是反派大小姐),csv/cover\2635.jpg
3128,我的初恋对象与人接吻了,csv/cover\3128.jpg
3413,十岁的最强魔导师,csv/cover\3413.jpg
3412,少女同志，向敌人开枪吧,csv/cover\3412.jpg
1729,IDOLISING偶像擂台！,csv/cover\1729.jpg
3406,反派千金沦为庶民,csv/cover\3406.jpg
3386,猎猫一族之长,csv/cover\3386.jpg
3375,强袭魔女Memorial Episode 在一起哦,csv/cover\3375.jpg
2734,为了当剑士而入学，魔法天赋却高达9999！？,csv/cover\2734.jpg
3316,Lycoris Recoil 莉可丽丝 Ordinary days,csv/cover\3316.jpg
1810,鹫尾须美是勇者(勇者部系列一),csv/cover\1810.jpg
3295,结城友奈是勇者 勇者史外典,csv/cover\3295.jpg
3294,楠芽吹是勇者(勇者部系列四),csv/cover\3294.jpg
3280,为青年设立的读书俱乐部,csv/cover\3280.jpg
3275,推偶像三原则,csv/cover\3275.jpg
3269,所有偶像皆不老的世界,csv/cover\3269.jpg
3251,最后也是最初的偶像,csv/cover\3251.jpg
3250,百年文通,csv/cover\3250.jpg
3249,弗莉达的世界 天上没有的群星,csv/cover\3249.jpg
255,圣母在上(玛莉亚的凝望),csv/cover\255.jpg
3232,魔女的宠爱,csv/cover\3232.jpg
2367,DATE A BULLET赤黑新章,csv/cover\2367.jpg
1868,脑浆炸裂girl,csv/cover\1868.jpg
2818,碧蓝航线 Episode of Belfast,csv/cover\2818.jpg
3056,截稿日之前，百合的进度特别快,csv/cover\3056.jpg
